name;tsena;photo
Сотовый телефон Xiaomi Redmi 9A 2/32GB голубой;8670 сом;https://www.kivano.kg/images/product/81981/1595752806_94536000.jpg
Сотовый телефон Samsung Galaxy A21s 4/64GB (SM-A217F/DS) черный;15030 сом;https://www.kivano.kg/images/product/81246/1593802025_47462200.jpg
Сотовый телефон Samsung Galaxy A21s 4/64GB (SM-A217F/DS) синий;15030 сом;https://www.kivano.kg/images/product/81247/1593802082_99401100.jpg
Сотовый телефон Xiaomi Redmi 9 4/64GB фиолетовый;11630 сом;https://www.kivano.kg/images/product/80998/1593452489_99969100.jpg
Сотовый телефон ASUS ZenFone 4 Selfie ZD553KL черный;16050 сом;https://www.kivano.kg/images/product/55686/55686.jpg
Сотовый телефон ASUS PadFone mini черный;17720 сом;https://www.kivano.kg/images/product/55687/55687.jpg
Сотовый телефон Samsung Galaxy A71 (2020) 128GB (SM-A715F/DS) голубой;24790 сом;https://www.kivano.kg/images/product/77056/1582525881_79253800.jpg
Сотовый телефон BRAVIS Light черный;5180 сом;https://www.kivano.kg/images/product/27136/27136.jpg
Сотовый телефон Samsung Galaxy A71 (2020) 128GB (SM-A715F/DS) серебристый;24790 сом;https://www.kivano.kg/images/product/77057/1582526561_18637600.jpg
Сотовый телефон Honor 8A Pro 3/64GB синий;11590 сом;https://www.kivano.kg/images/product/79617/1590065578_25776100.jpg
Сотовый телефон Philips S307 черный;5770 сом;https://www.kivano.kg/images/product/27137/27137.jpg
Сотовый телефон BRAVIS A552 Joy Max золотой;7730 сом;https://www.kivano.kg/images/product/40705/40705.jpg
Сотовый телефон Huawei P smart Z 4/64GB черный;15280 сом;https://www.kivano.kg/images/product/70402/70402.jpg
Сотовый телефон Honor 8A Pro 3/64GB черный;11590 сом;https://www.kivano.kg/images/product/79618/1590066034_84757100.jpg
Сотовый телефон BRAVIS A552 Joy Max серый;7730 сом;https://www.kivano.kg/images/product/40706/40706.jpg
Сотовый телефон BRAVIS Next черный;6370 сом;https://www.kivano.kg/images/product/27139/27139.jpg
Сотовый телефон OnePlus 8 Pro 12/256GB синий ультрамарин;66390 сом;https://www.kivano.kg/images/product/85765/1604911475_47327300.jpg
Сотовый телефон Samsung Galaxy S10 8/128GB (SM-G973F/DS) черный оникс;40920 сом;https://www.kivano.kg/images/product/66054/66054.jpg
Сотовый телефон Nokia 5310 (2020) Dual Sim черный;4070 сом;https://www.kivano.kg/images/product/85254/1603132115_66857000.jpg
Сотовый телефон BRAVIS Trend черный;7730 сом;https://www.kivano.kg/images/product/27142/27142.jpg
